Employee_ID,Employee_Name,Restaurant_Name,Shift_Date,Start_Time,End_Time,Hourly_Pay,Backup,Rota_Slot,Total_Hours
SB_E010,Jack,Savory Bites,2023-01-01,08:00,12:00,12.25,Grace,Morning,4
SB_E008,Henry,Savory Bites,2023-01-01,16:00,00:00,12.97,Alice,Evening,8
UF_E009,Umar,Urban Feast,2023-01-01,08:00,12:00,13.35,Mike,Morning,4
UF_E003,Oscar,Urban Feast,2023-01-01,16:00,22:00,14.75,Xena,Evening,6
GH_E002,Zack,Gourmet Haven,2023-01-01,08:00,14:00,14.76,Isaac,Morning,6
GH_E004,Bella,Gourmet Haven,2023-01-01,16:00,02:00,14.09,Fiona,Evening,10
SB_E002,Bob,Savory Bites,2023-01-02,08:00,12:00,12.39,Henry,Morning,4
SB_E004,Dave,Savory Bites,2023-01-02,16:00,00:00,13.01,Bob,Evening,8
UF_E008,Tara,Urban Feast,2023-01-02,08:00,14:00,13.11,Mike,Morning,6
UF_E006,Rose,Urban Feast,2023-01-02,16:00,20:00,14.75,Xena,Evening,4
GH_E003,Aaron,Gourmet Haven,2023-01-02,08:00,18:00,15.03,Ethan,Morning,10
GH_E011,Isaac,Gourmet Haven,2023-01-02,16:00,20:00,15.51,Bella,Evening,4
SB_E009,Irene,Savory Bites,2023-01-03,08:00,12:00,12.29,Carol,Morning,4
SB_E012,Leo,Savory Bites,2023-01-03,16:00,22:00,12.75,Irene,Evening,6
UF_E007,Steve,Urban Feast,2023-01-03,08:00,18:00,13.89,Pam,Morning,10
UF_E012,Xena,Urban Feast,2023-01-03,16:00,00:00,14.94,Will,Evening,8
GH_E011,Isaac,Gourmet Haven,2023-01-03,08:00,12:00,15.51,Hanna,Morning,4
GH_E001,Yvonne,Gourmet Haven,2023-01-03,16:00,22:00,14.29,Isaac,Evening,6
SB_E012,Leo,Savory Bites,2023-01-04,08:00,18:00,12.75,Irene,Morning,10
SB_E006,Frank,Savory Bites,2023-01-04,16:00,00:00,13.55,Irene,Evening,8
UF_E011,Will,Urban Feast,2023-01-04,08:00,14:00,14.8,Mike,Morning,6
UF_E008,Tara,Urban Feast,2023-01-04,16:00,20:00,13.11,Nina,Evening,4
